"ACTIVE","ASSET","CBSA","CHARTER","COUNTY","ESTYMD","ID","NAME","OFFICES","STNAME","UNINUM","WEBADDR","ZIP"
1,301455,"Minneapolis-St. Paul-Bloomington, MN-WI","0","Dakota","01/20/2004","57644","Gateway Bank",2,"Minnesota","419003","www.gateway.bank","55118"
1,178792,"Greeneville, TN","0","Greene","12/03/2003","57656","Heritage Community Bank",4,"Tennessee","419210","www.hcbonline.us","37745"
1,616840,"New York-Newark-Jersey City, NY-NJ-PA","0","Richmond","06/28/2004","57672","Empire State Bank",7,"New York","419378","http://www.esbna.com","10314"
1,675926,,"0","Fountain","01/01/1903","5768","The Fountain Trust Company",16,"Indiana","3935","http://www.fountaintrust.com","47932"
1,369248,"Nashville-Davidson-Murfreesboro-Franklin, TN","0","Wilson","04/19/2004","57684","CedarStone Bank",3,"Tennessee","419627","www.cedarstonebank.com","37087"
1,485001,"Atlanta-Sandy Springs-Alpharetta, GA","24456","Haralson","10/04/2004","57686","American Commerce Bank, National Association",4,"Georgia","419715","www.americancommercebank.com","30110"
1,370987,"Bainbridge, GA","24458","Decatur","04/05/2004","57694","First National Bank of Decatur County",5,"Georgia","419971","http://www.fnbdc.com","39819"
1,2522542,"Chicago-Naperville-Elgin, IL-IN-WI","24466","Cook","04/01/2004","57701","Beverly Bank & Trust Company, National Association",8,"Illinois","420280","www.thebeverlybank.com","60643"
1,979747,"Dallas-Fort Worth-Arlington, TX","24467","Dallas","11/02/2004","57703","T Bank, National Association",1,"Texas","420285","http://www.tbank.com","75248"
1,1277562,"Eugene-Springfield, OR","0","Lane","02/23/2004","57706","Summit Bank",5,"Oregon","422240","https://sbko.bank","97401"
1,1304624,,"0","Greene","05/20/2004","57710","Greene County Commercial Bank",1,"New York","422514","www.tbogc.com","12414"
1,2576971,"San Francisco-Oakland-Berkeley, CA","0","Contra Costa","07/20/2004","57716","United Business Bank",34,"California","422931","http://www.unitedbusinessbank.com","94596"
1,710327,"Salinas, CA","0","Monterey","09/14/2004","57740","Pacific Valley Bank",5,"California","423295","www.pacificvalleybank.com","93901"
1,663549,,"0","Alamosa","07/09/2004","57741","First Southwest Bank",6,"Colorado","423296","www.fswb.bank","81101"
1,2209046,"Washington-Arlington-Alexandria, DC-VA-MD-WV","0","Fairfax City","05/26/2004","57742","MainStreet Bank",7,"Virginia","423301","www.mstreetbank.com","22030"
1,1572778,"Chicago-Naperville-Elgin, IL-IN-WI","0","Cook","09/20/2004","57754","Providence Bank & Trust",16,"Illinois","423445","www.providence.bank","60473"
